Location,Property Type,Bedrooms,Bathrooms,Size,Price (KES),Listing Date,Amenities
Nairobi - Spring Valley,House,5 bedrooms,4,,400000,12 February 2026,"Alarm, En Suite, Fibre Internet, Walk In Closet, Kids Play Area, BBQ, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Garden, Shopping Centre, Bus Stop, Golf Course, Hospital, Scenic View, School"
Nairobi - Lavington,House,5 bedrooms,6,,400000,19 February 2026,"Aircon, Service Charge Included, Alarm, Backup Generator, Walk In Closet, En Suite, Balcony, Parking, CCTV, Electric Fence, Staff Quarters, Garden, Gated Community, Shopping Centre, Hospital, Scenic View, School"
Machakos County - Syokimau,House,5 bedrooms,5,,120000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Spring Valley,House,4 bedrooms,4,,340000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,5 bedrooms,5,"0,5 m²",440000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,4 bedrooms,4,,400000,19 February 2026,"Alarm, Backup Generator, Fibre Internet, En Suite, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Lower Kabete,House,2 bedrooms,2,,100000,19 February 2026,"Alarm, En Suite, Backup Generator, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Garden, Borehole, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Nyari,House,4 bedrooms,4,,451500,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,4 bedrooms,4,400 m²,350000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Thigiri,House,4 bedrooms,5,"6.070,2 m²",450000,19 February 2026,"Walk In Closet, En Suite, Fibre Internet, Backup Generator, Alarm, Service Charge Included, Aircon, Kids Play Area, Wheelchair Access, Gated Community, Garden, Electric Fence, Borehole, CCTV, BBQ, Balcony, Parking, Staff Quarters, Shopping Centre, Scenic View, School, Hospital, Bus Stop"
Nairobi - Kilimani,House,4 bedrooms,4,400 m²,400000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Lake View,House,5 bedrooms,6,450 m²,580000,19 February 2026,"Walk In Closet, En Suite, Fibre Internet, Backup Generator, Alarm, Service Charge Included, Aircon, Kids Play Area, Wheelchair Access, Gated Community, Garden, Borehole, Electric Fence, CCTV, BBQ, Balcony, Parking, Staff Quarters, Shopping Centre, Scenic View, School, Hospital, Bus Stop"
Nairobi - Kiambu Road,House,5 bedrooms,5,449 m²,250000,19 February 2026,"Alarm, En Suite, Fibre Internet, Balcony, Kids Play Area, Parking, Staff Quarters, CCTV, Electric Fence, Wheelchair Access, Garden, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School"
Nairobi - Kitisuru,House,5 bedrooms,6,380 m²,412000,19 February 2026,"Walk In Closet, En Suite, Fibre Internet, Backup Generator, Alarm, Service Charge Included, Aircon, Kids Play Area, Wheelchair Access, Gated Community, Borehole, Electric Fence, CCTV, BBQ, Balcony, Parking, Staff Quarters, Shopping Centre, Scenic View, School, Hospital"
Nairobi - Nyari,House,5 bedrooms,6,2.023 m²,400000,19 February 2026,"Walk In Closet, En Suite, Fibre Internet, Backup Generator, Alarm, Service Charge Included, Aircon, Kids Play Area, Wheelchair Access, Gated Community, Garden, Electric Fence, Borehole, CCTV, BBQ, Balcony, Parking, Staff Quarters, Shopping Centre, Scenic View, School, Hospital, Bus Stop"
Nairobi - Lavington,House,5 bedrooms,6,695 m²,450000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, Gym, Parking, BBQ, Kids Play Area, Staff Quarters, CCTV, Electric Fence, Wheelchair Access, Garden, Gated Community, Borehole, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School"
Nairobi - Rosslyn,House,5 bedrooms,5,456 m²,646000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Lavington,House,5 bedrooms,5,220 m²,350000,12 February 2026,"Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Alarm, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Gated Community, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Loresho,House,4 bedrooms,4,2.024 m²,619000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Lake View,House,5 bedrooms,5,,580500,19 February 2026,"Backup Generator, En Suite, Service Charge Included, Walk In Closet, Balcony, Kids Play Area, Parking, BBQ, CCTV, Staff Quarters, Electric Fence, Garden, Gated Community, Wheelchair Access, Bus Stop, Shopping Centre, Golf Course, Hospital, School"
Nairobi - Lower Kabete,House,5 bedrooms,5,,750000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, Parking, Staff Quarters, BBQ, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,4 bedrooms,4,420 m²,390000,16 February 2026,"Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, CCTV, BBQ, Electric Fence, Garden, Staff Quarters, Parking, Bus Stop, Hospital, School, Shopping Centre"
Nairobi - Runda,House,5 bedrooms,5,400 m²,370000,19 February 2026,"Service Charge Included, En Suite, Fibre Internet, Balcony, Parking, Staff Quarters, CCTV, Electric Fence, Garden, School, Hospital, Bus Stop, Shopping Centre"
Nairobi - Gigiri,House,5 bedrooms,4,140 m²,270000,19 February 2026,"En Suite, Walk In Closet, Balcony, Kids Play Area, Parking, BBQ, Staff Quarters, Garden, Wheelchair Access, Bus Stop, Shopping Centre, Golf Course, Hospital, School"
Nairobi - Runda,House,4 bedrooms,4,,387000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Kitisuru,House,4 bedrooms,4,,646000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Swimming Pool, Garden, Borehole, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Gigiri,House,4 bedrooms,2,320 m²,270000,19 February 2026,"Fibre Internet, En Suite, Service Charge Included, Balcony, Parking, Staff Quarters, Electric Fence, Garden, School, Hospital, Bus Stop, Shopping Centre"
Nairobi - Runda,House,5 bedrooms,5,,618960,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Swimming Pool, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Lavington,House,5 bedrooms,5,,300000,19 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, Garden, Parking, Gated Community, Bus Stop, Golf Course, Hospital, School, Shopping Centre"
Nairobi - Westlands Area,House,3 bedrooms,1,,110000,19 February 2026,"Fibre Internet, Service Charge Included, Balcony, Electric Fence, Garden, Parking, Staff Quarters, Gated Community, Wheelchair Access, Bus Stop, School, Shopping Centre, Hospital"
Nairobi - Gigiri,House,6 bedrooms,6,,750000,18 February 2026,"Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Kids Play Area, Parking, BBQ, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Garden, Gated Community, Bus Stop, Shopping Centre, Hospital, Scenic View, School"
Nairobi - Lavington,House,5 bedrooms,6,,300000,19 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, Electric Fence, Garden, Parking, Staff Quarters, Gated Community, Bus Stop, Golf Course, Hospital, School, Shopping Centre"
Nairobi - Thigiri,House,5 bedrooms,5,4.046 m²,490000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,5 bedrooms,5,450 m²,490000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,4 bedrooms,4,2.024 m²,850000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Swimming Pool, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,4 bedrooms,4,380 m²,450000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Furnished, Balcony, BBQ, Parking, Staff Quarters, Garden, Borehole, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,1 bedrooms,1,,129330,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Furnished, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Lavington,House,4 bedrooms,4,,430000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,2 bedrooms,2,360 m²,232794,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Furnished, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,2 bedrooms,2,360 m²,232794,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Furnished, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Ridgeways,House,4 bedrooms,4,5.000 m²,350000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, Parking, Staff Quarters, BBQ, Wheelchair Access, Swimming Pool, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Loresho,House,5 bedrooms,5,,500000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Spring Valley,House,4 bedrooms,4,380 m²,330000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, Parking, Staff Quarters, BBQ, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,5 bedrooms,5,"0,5 m²",430000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Lower Kabete,House,4 bedrooms,4,"0,5 m²",580000,19 February 2026,"Aircon, Alarm, Backup Generator, Walk In Closet, Service Charge Included, En Suite, Fibre Internet, Balcony, Parking, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Garden, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Gigiri,House,2 bedrooms,3,"0,5 m²",464400,19 February 2026,"Walk In Closet, Fibre Internet, En Suite, Alarm, Aircon, Backup Generator, Kids Play Area, Swimming Pool, Staff Quarters, Parking, Garden, Borehole, Electric Fence, CCTV, BBQ, Balcony, Shopping Centre, School, Hospital, Bus Stop"
Nairobi - Kitisuru,House,4 bedrooms,5,2.024 m²,774000,19 February 2026,"Walk In Closet, Fibre Internet, En Suite, Backup Generator, Alarm, Aircon, Kids Play Area, Gated Community, Swimming Pool, Staff Quarters, Parking, Gym, Garden, Borehole, Electric Fence, BBQ, Balcony, CCTV, Shopping Centre, Bus Stop, School, Hospital"
Nairobi - Kitisuru,House,4 bedrooms,5,,500000,19 February 2026,"Walk In Closet, Fibre Internet, En Suite, Backup Generator, Alarm, Aircon, Kids Play Area, Staff Quarters, Parking, Garden, Borehole, Electric Fence, CCTV, BBQ, Balcony, Shopping Centre, School, Hospital, Bus Stop"
Nairobi - Spring Valley,House,4 bedrooms,5,,280000,19 February 2026,"Walk In Closet, Fibre Internet, En Suite, Backup Generator, Alarm, Aircon, Kids Play Area, Gated Community, Swimming Pool, Staff Quarters, Parking, Garden, Borehole, Electric Fence, CCTV, BBQ, Balcony, Shopping Centre, School, Hospital, Bus Stop"
Nairobi - Kyuna,House,5 bedrooms,,,400000,18 February 2026,"Alarm, Fibre Internet, Service Charge Included, Gated Community, Kids Play Area, Garden, Parking, Staff Quarters, CCTV, Shopping Centre, Scenic View"
Nairobi - Lavington,House,5 bedrooms,6,695 m²,440000,18 February 2026,"Walk In Closet, Fibre Internet, En Suite, Backup Generator, Alarm, Aircon, Kids Play Area, Gated Community, Staff Quarters, Parking, Gym, Garden, Borehole, Electric Fence, CCTV, BBQ, Balcony, Shopping Centre, School, Hospital, Bus Stop"
Nairobi - Lavington,House,5 bedrooms,6,320 m²,250000,18 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Walk In Closet, Fibre Internet, Kids Play Area, Gated Community, Staff Quarters, Parking, Garden, Electric Fence, CCTV, Balcony, BBQ, Shopping Centre, School, Hospital, Bus Stop"
Nairobi - Lavington,House,5 bedrooms,6,,350000,18 February 2026,"Aircon, Alarm, Backup Generator, Walk In Closet, En Suite, Garden, Gated Community, Borehole, Wheelchair Access, Electric Fence, CCTV, Staff Quarters, BBQ, Parking, Balcony, Kids Play Area, Shopping Centre, Bus Stop, Hospital, School"
Nairobi - Gigiri,House,5 bedrooms,6,,400000,18 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, Gym, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Borehole, Gated Community, Garden, Kids Play Area, Sea View, School, Hospital, Bus Stop, Shopping Centre"
Nairobi - Nyari,House,2 bedrooms,2,"0,13 m²",250000,18 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Wheelchair Access, Gated Community, Kids Play Area, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Thigiri,House,4 bedrooms,4,"6.070,2 m²",450000,18 February 2026,"Alarm, Walk In Closet, Fibre Internet, En Suite, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Balcony"
Nairobi - Runda,House,5 bedrooms,6,"0,5 m²",420000,18 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, Gym, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Swimming Pool, Borehole, Wheelchair Access, Garden, Gated Community, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Muthaiga,House,5 bedrooms,5,,630000,18 February 2026,"Alarm, En Suite, Fibre Internet, Walk In Closet, Parking, Balcony, Staff Quarters, CCTV, Electric Fence, Borehole, Garden"
Nairobi - Lavington,House,5 bedrooms,5,695 m²,450000,18 February 2026,"En Suite, Parking"
Nairobi - Thigiri,House,4 bedrooms,5,"6.070,2 m²",450000,18 February 2026,"En Suite, Parking"
Nairobi - Lake View,House,5 bedrooms,5,450 m²,580500,18 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Staff Quarters, Parking, Kids Play Area, Gated Community, Shopping Centre, Bus Stop, Hospital, School"
Nairobi - Lake View,House,5 bedrooms,5,450 m²,580500,18 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Staff Quarters, Parking, Kids Play Area, Gated Community, Shopping Centre, Bus Stop, Hospital, School"
Nairobi - Lavington,House,6 bedrooms,6,,440000,18 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Serviced, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area"
Nairobi - Runda,House,4 bedrooms,4,320 m²,445000,18 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Parking, Kids Play Area, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Lavington,House,6 bedrooms,6,,400000,18 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Parking, Kids Play Area, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Lavington,House,6 bedrooms,6,400 m²,460000,18 February 2026,
Nairobi - Loresho,House,3 bedrooms,3,296 m²,412320,18 February 2026,"En Suite, Balcony, Garden, Parking, Staff Quarters, Bus Stop, Hospital, School, Shopping Centre"
Nairobi - Runda,House,4 bedrooms,4,"0,5 m²",450000,18 February 2026,"Alarm, Service Charge Included, Walk In Closet, En Suite, Fibre Internet, Balcony, Kids Play Area, Parking, Staff Quarters, CCTV, Electric Fence, Borehole, Garden, Gated Community, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Runda,House,4 bedrooms,4,420 m²,400000,18 February 2026,"Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Kids Play Area, Parking, CCTV, Staff Quarters, Swimming Pool, Electric Fence, Garden, Gated Community, Bus Stop, Shopping Centre, Hospital, Scenic View, School"
Nairobi - Kiambu Road,House,4 bedrooms,3,450 m²,350000,18 February 2026,"Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Kids Play Area, Parking, CCTV, Staff Quarters, Electric Fence, Garden, Gated Community, Wheelchair Access, Bus Stop, Shopping Centre, Hospital, Scenic View, School"
Nairobi - Runda,House,4 bedrooms,4,320 m²,450000,18 February 2026,"Alarm, Service Charge Included, Walk In Closet, En Suite, Fibre Internet, Backup Generator, Balcony, Gym, Kids Play Area, Parking, Staff Quarters, CCTV, Swimming Pool, Electric Fence, Borehole, Garden, Gated Community, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Karen,House,4 bedrooms,3,,200000,18 February 2026,"Alarm, Service Charge Included, Fibre Internet, Walk In Closet, Balcony, Kids Play Area, Parking, BBQ, CCTV, Electric Fence, Gated Community, Garden, Bus Stop, Hospital, Scenic View, School, Shopping Centre, Golf Course"
Nairobi - Karen,House,3 bedrooms,3,219 m²,150000,18 February 2026,"Alarm, Service Charge Included, Walk In Closet, En Suite, Fibre Internet, Balcony, Kids Play Area, Parking, BBQ, CCTV, Electric Fence, Garden, Gated Community, Bus Stop, Hospital, Scenic View, School, Shopping Centre, Golf Course"
Nairobi - Lavington,House,5 bedrooms,5,,775000,18 February 2026,"Backup Generator, En Suite, Fibre Internet, Walk In Closet, Alarm, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Swimming Pool, Staff Quarters, Parking, Gym, Kids Play Area, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Kiambu Road,House,3 bedrooms,3,244 m²,180000,18 February 2026,"Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Alarm, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Swimming Pool, Staff Quarters, Parking, Kids Play Area, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Runda,House,5 bedrooms,5,320 m²,586000,18 February 2026,"Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Alarm, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Parking, Kids Play Area, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Runda,House,3 bedrooms,3,2.300 m²,212000,18 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Swimming Pool, Staff Quarters, Parking, Gym, Kids Play Area, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Runda,House,2 bedrooms,2,245 m²,286000,18 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Furnished, Service Charge Included, Balcony, CCTV, Electric Fence, Borehole, Gated Community, Wheelchair Access, Parking, Kids Play Area, Garden, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Runda,House,3 bedrooms,3,,325000,18 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Furnished, Walk In Closet, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Swimming Pool, Parking, Gym, Kids Play Area, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Lavington,House,5 bedrooms,5,695 m²,450000,18 February 2026,"Backup Generator, Alarm, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Parking, Kids Play Area, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Garden Estate,House,3 bedrooms,3,432 m²,160000,18 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Furnished, Service Charge Included, Walk In Closet, Balcony, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Parking, Kids Play Area, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Westlands Area,House,4 bedrooms,4,400 m²,260000,18 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Parking, Kids Play Area, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Lavington,House,4 bedrooms,4,,300000,18 February 2026,"Backup Generator, En Suite, Fibre Internet, Walk In Closet, Alarm, Service Charge Included, Balcony, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Parking, Kids Play Area, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Westlands Area,House,4 bedrooms,4,400 m²,260000,18 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Parking, Kids Play Area, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Lavington,House,4 bedrooms,4,,300000,18 February 2026,"Backup Generator, En Suite, Fibre Internet, Walk In Closet, Alarm, Service Charge Included, Balcony, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Parking, Kids Play Area, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Lavington,House,5 bedrooms,,320 m²,250000,18 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Parking, Kids Play Area, Bus Stop, Hospital, School, Scenic View, Shopping Centre"
Nairobi - Waiyaki Way,House,5 bedrooms,5,"0,5 m²",520000,18 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Parking, Gym, Kids Play Area, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Lavington,House,5 bedrooms,5,"0,13 m²",585000,18 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Swimming Pool, Staff Quarters, Parking, Kids Play Area, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Karen,House,3 bedrooms,,,280000,18 February 2026,"En Suite, Fibre Internet, Service Charge Included, Balcony, BBQ, Electric Fence, Borehole, Garden, Parking, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, School, Scenic View, Shopping Centre"
Nairobi - Rosslyn,House,4 bedrooms,4,380 m²,450000,18 February 2026,"Fibre Internet, En Suite, Backup Generator, Walk In Closet, Alarm, Service Charge Included, Garden, Gated Community, Borehole, Wheelchair Access, Swimming Pool, Electric Fence, CCTV, Staff Quarters, Parking, BBQ, Balcony, Gym, Kids Play Area, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School"
Nairobi - Karen,House,5 bedrooms,5,,500000,18 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, Parking, Staff Quarters, BBQ, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Lower Kabete,House,5 bedrooms,5,"0,5 m²",709000,18 February 2026,"Backup Generator, Alarm, En Suite, Fibre Internet, Balcony, Parking, Staff Quarters, BBQ, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Karen,House,3 bedrooms,2,,270000,18 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Balcony, Garden, Parking, Gated Community, BBQ, Bus Stop, Shopping Centre, Hospital, Scenic View, School, Golf Course"
Nairobi - Karen,House,4 bedrooms,4,450 m²,300000,18 February 2026,"Alarm, En Suite, Service Charge Included, Fibre Internet, Balcony, Garden, Parking, Staff Quarters, Gated Community, Bus Stop, Scenic View, School, Sea View, Shopping Centre"
Nairobi - Rosslyn,House,5 bedrooms,5,"0,5 m²",646000,18 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Kitisuru,House,5 bedrooms,5,,780000,18 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Kitisuru,House,1 bedrooms,1,,80000,04 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Furnished, Service Charge Included, Balcony, BBQ, Parking, CCTV, Electric Fence, Borehole, Garden, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Lavington,House,4 bedrooms,3,399 m²,350000,17 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
